,literal,stroke_count,grade,freq,jlpt
1256,白,5,1.0,21.0,3.0
1257,百,6,4.0,1462.0,3.0
1258,的,8,8.0,1063.0,2.0
1259,皆,9,6.0,1226.0,2.0
1260,皇,9,3.0,1184.0,1.0
1261,皮,5,8.0,347.0,1.0
1262,盆,9,5.0,1273.0,1.0
1263,益,10,8.0,489.0,1.0
1264,盗,11,6.0,1124.0,2.0
1265,盛,11,6.0,681.0,2.0
1266,盟,13,8.0,1902.0,2.0
1267,監,15,8.0,2010.0,1.0
1268,盤,15,1.0,467.0,2.0
1269,目,5,8.0,848.0,1.0
1270,盲,8,2.0,242.0,1.0
1271,直,8,3.0,635.0,1.0
1272,相,9,8.0,531.0,1.0
1273,盾,9,4.0,1015.0,1.0
1274,省,9,8.0,862.0,2.0
1275,眉,9,6.0,2089.0,1.0
1276,看,9,3.0,1275.0,1.0
1277,県,9,3.0,985.0,1.0
1278,真,10,8.0,448.0,3.0
1279,眠,10,8.0,514.0,4.0
1280,眺,11,5.0,289.0,2.0
1281,眼,11,3.0,1560.0,1.0
1282,着,12,8.0,461.0,1.0
1283,睡,13,8.0,1038.0,2.0
1284,督,13,8.0,1264.0,1.0
1285,睦,13,8.0,2372.0,1.0
1286,瞬,18,8.0,1400.0,4.0
1287,瞭,17,8.0,1744.0,1.0
1288,瞳,17,8.0,1656.0,2.0
1289,矛,5,2.0,541.0,2.0
1290,矢,5,2.0,1535.0,1.0
1291,知,8,3.0,1642.0,2.0
1292,短,12,8.0,1366.0,2.0
1293,矯,17,1.0,368.0,2.0
1294,石,5,6.0,304.0,1.0
1295,砂,9,3.0,521.0,2.0
1296,研,9,8.0,1871.0,2.0
1297,砕,9,8.0,1776.0,2.0
1298,砲,10,5.0,1186.0,2.0
1299,破,10,8.0,1756.0,1.0
1300,硝,12,8.0,2072.0,2.0
1301,硫,12,8.0,58.0,3.0
1302,硬,12,8.0,1195.0,1.0
1303,碁,13,8.0,990.0,1.0
1304,碑,14,5.0,1138.0,2.0
1305,確,15,6.0,960.0,2.0
1306,磁,14,8.0,610.0,2.0
1307,磨,16,8.0,593.0,1.0
1308,礁,17,8.0,913.0,2.0
1309,礎,18,5.0,1928.0,1.0
1310,示,5,3.0,1798.0,2.0
1311,礼,5,2.0,160.0,1.0
1312,社,7,8.0,1132.0,1.0
1313,祈,8,8.0,798.0,2.0
1314,祉,8,5.0,744.0,2.0
1315,祖,9,4.0,1631.0,1.0
1316,祝,9,3.0,486.0,2.0
1317,神,9,8.0,209.0,1.0
1318,祥,10,4.0,361.0,1.0
1319,票,11,3.0,517.0,1.0
1320,祭,11,5.0,934.0,1.0
1321,禁,13,8.0,1088.0,2.0
1322,禅,13,8.0,821.0,1.0
1323,禍,13,3.0,1942.0,1.0
1324,福,13,8.0,983.0,2.0
1325,秀,7,6.0,1358.0,1.0
1326,私,7,2.0,907.0,1.0
1327,秋,9,2.0,61.0,1.0
1328,科,9,3.0,1484.0,2.0
1329,秒,9,6.0,1768.0,2.0
1330,秘,10,8.0,1635.0,1.0
1331,租,10,8.0,1689.0,1.0
1332,秩,10,8.0,1410.0,2.0
1333,称,10,5.0,1549.0,3.0
1334,移,11,5.0,1545.0,2.0
1335,程,12,5.0,752.0,1.0
1336,税,12,8.0,1471.0,1.0
1337,稚,13,4.0,1354.0,1.0
1338,種,14,8.0,1488.0,1.0
1339,稲,14,8.0,567.0,1.0
1340,稼,15,8.0,1820.0,1.0
1341,稽,16,8.0,780.0,2.0
1342,稿,15,6.0,94.0,1.0
